[15:08:51] 模块导入完成
[07:05:01] 后台拉取失败: 热播APP - 
[07:05:01] 后台拉取: 爱听音乐[听]
[07:05:07] 后台拉取失败: 爱听音乐[听] - 
[07:05:07] 后台拉取: 爱玩音乐[听]
[07:05:13] 后台拉取失败: 爱玩音乐[听] - 
[07:05:13] 后台拉取: 爱瓜APP
[07:05:19] 后台拉取失败: 爱瓜APP - 
[07:05:19] 后台拉取: 独播库
[07:05:25] 后台拉取失败: 独播库 - 
[07:05:25] 后台拉取: 猎手APP
[07:05:31] 后台拉取失败: 猎手APP - 
[07:05:31] 后台拉取: 瓜子
[07:05:37] 后台拉取失败: 瓜子 - 
[07:05:37] 后台拉取: 看客TV
[07:05:43] 后台拉取失败: 看客TV - 
[07:05:43] 后台拉取: 端木
[07:05:49] 后台拉取失败: 端木 - 
[07:05:49] 后台拉取: 资源管理
[07:05:55] 后台拉取失败: 资源管理 - 
[07:05:55] 后台拉取: 麦田影院
[07:06:01] 后台拉取失败: 麦田影院 - 
[07:06:01] 后台拉取: 麻雀视频
[07:06:07] 后台拉取失败: 麻雀视频 - 
[07:06:07] 后台拉取: htmlParser
[07:06:13] 后台拉取失败: htmlParser - 
[07:06:13] 后台拉取: spider
[07:06:19] 后台拉取失败: spider - 
[07:06:19] 后台拉取: bridge
[07:06:25] 后台拉取失败: bridge - 
[07:06:25] 后台拉取: t4_daemon
[07:06:31] 后台拉取失败: t4_daemon - 
[07:06:31] 后台拉取: t4_daemon_lite
[07:06:37] 后台拉取失败: t4_daemon_lite - 
[09:58:02] 模块导入完成
[09:58:02] init 开始
[09:58:10] init 完成，扫描到 247 个py源
[09:58:19] homeContent 开始
[09:58:19] homeContent 返回 248 个标签
[09:58:20] 后台拉取: 985短剧
[09:58:21] 后台拉取失败: 985短剧 - encoding not supported USC4 little endian, line 1, column 1 (<string>, line 1)
[09:58:21] 后台拉取: JAVMove🔞
[09:58:22] 后台拉取失败: JAVMove🔞 - 
[09:58:23] 后台拉取: pmvhaven🔞
[09:58:23] 后台拉取失败: pmvhaven🔞 - 'Spider' object has no attribute 'init'
[09:58:23] 后台拉取: 房中㊙️术🔞
[09:58:29] 后台拉取失败: 房中㊙️术🔞 - 
[09:58:29] 后台拉取: package
[09:58:29] 后台拉取失败: package - 文件中未找到 Spider 类
[09:58:29] 后台拉取: _runner
[09:58:29] 后台拉取失败: _runner - 文件中未找到 Spider 类
[09:58:29] 后台拉取: basic
[09:58:29] 后台拉取失败: basic - 文件中未找到 Spider 类
[09:58:29] 后台拉取: dict
[09:58:29] 后台拉取失败: dict - 文件中未找到 Spider 类
[09:58:29] 后台拉取: klass
[09:58:29] 后台拉取失败: klass - 文件中未找到 Spider 类
[09:58:29] 后台拉取: long
[09:58:29] 后台拉取失败: long - 文件中未找到 Spider 类
[09:58:29] 后台拉取: protocol5
[09:58:29] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[09:58:29] 后台拉取: set
[09:58:29] 后台拉取失败: set - 文件中未找到 Spider 类
[09:58:29] 后台拉取: APP配置MAP提取器
[09:58:29] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[09:58:29] 后台拉取: XYQ规则链接提取器
[09:58:29] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[09:58:29] 后台拉取: compare_source
[09:58:29] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[09:58:29] 后台拉取: move_error_sources
[09:58:29] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[09:58:29] 后台拉取: move_error_sources_test
[09:58:29] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[09:58:29] 后台拉取: 采集分类生成器
[09:58:29] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[09:58:29] 后台拉取: 采集转换器
[09:58:29] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[09:58:29] 后台拉取: crawler
[09:58:29] 后台拉取失败: crawler - 文件中未找到 Spider 类
[09:58:29] 后台拉取: 4KVM
[09:58:31] 后台拉取成功: 4KVM
[09:58:31] 后台拉取: 4K影视
[09:59:38] 模块导入完成
[09:59:38] init 开始
[09:59:46] init 完成，扫描到 247 个py源
[09:59:46] homeContent 开始
[09:59:46] homeContent 返回 248 个标签
[09:59:46] 后台拉取: 985短剧
[09:59:47] 后台拉取失败: 985短剧 - encoding not supported USC4 little endian, line 1, column 1 (<string>, line 1)
[09:59:47] 后台拉取: JAVMove🔞
[09:59:49] 后台拉取失败: JAVMove🔞 - 
[09:59:49] 后台拉取: pmvhaven🔞
[09:59:49] 后台拉取失败: pmvhaven🔞 - 'Spider' object has no attribute 'init'
[09:59:49] 后台拉取: 房中㊙️术🔞
[09:59:55] 后台拉取失败: 房中㊙️术🔞 - 
[09:59:55] 后台拉取: package
[09:59:55] 后台拉取失败: package - 文件中未找到 Spider 类
[09:59:55] 后台拉取: _runner
[09:59:55] 后台拉取失败: _runner - 文件中未找到 Spider 类
[09:59:55] 后台拉取: basic
[09:59:55] 后台拉取失败: basic - 文件中未找到 Spider 类
[09:59:55] 后台拉取: dict
[09:59:55] 后台拉取失败: dict - 文件中未找到 Spider 类
[09:59:55] 后台拉取: klass
[09:59:55] 后台拉取失败: klass - 文件中未找到 Spider 类
[09:59:55] 后台拉取: long
[09:59:55] 后台拉取失败: long - 文件中未找到 Spider 类
[09:59:55] 后台拉取: protocol5
[09:59:55] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[09:59:55] 后台拉取: set
[09:59:55] 后台拉取失败: set - 文件中未找到 Spider 类
[09:59:55] 后台拉取: APP配置MAP提取器
[09:59:55] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[09:59:55] 后台拉取: XYQ规则链接提取器
[09:59:55] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[09:59:55] 后台拉取: compare_source
[09:59:55] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[09:59:55] 后台拉取: move_error_sources
[09:59:55] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[09:59:55] 后台拉取: move_error_sources_test
[09:59:55] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[09:59:55] 后台拉取: 采集分类生成器
[09:59:55] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[09:59:55] 后台拉取: 采集转换器
[09:59:55] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[09:59:55] 后台拉取: crawler
[09:59:55] 后台拉取失败: crawler - 文件中未找到 Spider 类
[09:59:55] 后台拉取: 4K影视
[10:00:01] 后台拉取失败: 4K影视 - 
[10:00:01] 后台拉取: AppFei
[10:00:02] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[10:00:02] 后台拉取: AppFox
[10:00:02] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[10:00:02] 后台拉取: AppGet
[10:00:02] 后台拉取失败: AppGet - 'key'
[10:00:02] 后台拉取: AppHs
[10:00:02] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[10:00:02] 后台拉取: AppMuou
[10:00:02] 后台拉取失败: AppMuou - 'host'
[10:00:02] 后台拉取: AppSk
[10:00:02] 后台拉取失败: AppSk - 
[10:00:02] 后台拉取: AppToV5
[10:00:02] 后台拉取失败: AppToV5 - 
[10:00:02] 后台拉取: AppV1
[10:00:02] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[10:00:02] 后台拉取: AppV2²
[10:00:02] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[10:00:02] 后台拉取: AppV2¹
[10:00:02] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[10:00:02] 后台拉取: AppV6
[10:00:02] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[10:00:02] 后台拉取: AppYqk
[10:00:02] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[10:00:02] 后台拉取: _bridge
[10:00:02] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[10:00:02] 后台拉取: base_java_loader
[10:00:02] 后台拉取失败: base_java_loader - No module named 't4'
[10:00:02] 后台拉取: base_spider
[10:00:02] 后台拉取成功: base_spider
[10:00:02] 后台拉取: base_test
[10:00:02] 后台拉取失败: base_test - No module named 'core'
[10:00:02] 后台拉取: emby
[10:00:02] 后台拉取成功: emby
[10:00:02] 后台拉取: getapp3.4.2
[10:00:02] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[10:00:02] 后台拉取: getapp3.4.4
[10:00:02] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[10:00:02] 后台拉取: 七猫小说[书]
[10:00:03] 后台拉取成功: 七猫小说[书]
[10:00:03] 后台拉取: 依赖测试
[10:00:03] 后台拉取成功: 依赖测试
[10:00:03] 后台拉取: 兄弟影视
[10:00:03] 后台拉取成功: 兄弟影视
[10:00:03] 后台拉取: 剧透社[盘]
[10:00:04] 后台拉取成功: 剧透社[盘]
[10:00:04] 后台拉取: 动作代理测试
[10:00:04] 后台拉取成功: 动作代理测试
[10:00:04] 后台拉取: 哇哇APP
[10:00:05] 后台拉取成功: 哇哇APP
[10:00:05] 后台拉取: 哔哩哔哩
[10:00:06] 后台拉取成功: 哔哩哔哩
[10:00:06] 后台拉取: 懒懒视频
[10:00:06] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[10:00:06] 后台拉取: 新浪资源
[10:00:06] 后台拉取成功: 新浪资源
[10:00:06] 后台拉取: 新韩剧网
[10:00:08] 后台拉取成功: 新韩剧网
[10:00:08] 后台拉取: 欣欣影视
[10:00:11] 后台拉取成功: 欣欣影视
[10:00:11] 后台拉取: 河马短剧
[10:00:11] 后台拉取成功: 河马短剧
[10:00:11] 后台拉取: 热播APP
[10:00:11] 后台拉取成功: 热播APP
[10:00:11] 后台拉取: 爱听音乐[听]
[10:00:12] 后台拉取成功: 爱听音乐[听]
[10:00:12] 后台拉取: 爱玩音乐[听]
[10:00:15] 后台拉取成功: 爱玩音乐[听]
[10:00:15] 后台拉取: 爱瓜APP
[10:00:17] 后台拉取成功: 爱瓜APP
[10:00:17] 后台拉取: 独播库
[10:00:17] 后台拉取成功: 独播库
[10:00:17] 后台拉取: 猎手APP
[10:00:18] 后台拉取成功: 猎手APP
[10:00:18] 后台拉取: 瓜子
[10:00:18] 后台拉取成功: 瓜子
[10:00:18] 后台拉取: 看客TV
[10:00:19] 后台拉取成功: 看客TV
[10:00:19] 后台拉取: 端木
[10:00:19] 后台拉取成功: 端木
[10:00:19] 后台拉取: 资源管理
[10:00:19] 后台拉取成功: 资源管理
[10:00:19] 后台拉取: 麦田影院
[10:00:20] 后台拉取失败: 麦田影院 - Document is empty
[10:00:20] 后台拉取: 麻雀视频
[10:00:20] 后台拉取成功: 麻雀视频
[10:00:20] 后台拉取: htmlParser
[10:00:20] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[10:00:20] 后台拉取: spider
[10:00:20] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[10:00:20] 后台拉取: bridge
[10:00:20] 后台拉取失败: bridge - 文件中未找到 Spider 类
[10:00:20] 后台拉取: t4_daemon
[10:00:20] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[10:00:20] 后台拉取: t4_daemon_lite
[10:00:20] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[12:18:36] 模块导入完成
[12:18:36] init 开始
[12:18:43] init 完成，扫描到 247 个py源
[12:18:43] homeContent 开始
[12:18:43] homeContent 返回 248 个标签
[12:18:43] 后台拉取: 985短剧
[12:18:49] 后台拉取失败: 985短剧 - 
[12:18:49] 后台拉取: JAVMove🔞
[12:18:51] 后台拉取失败: JAVMove🔞 - 
[12:18:51] 后台拉取: pmvhaven🔞
[12:18:51] 后台拉取失败: pmvhaven🔞 - 'Spider' object has no attribute 'init'
[12:18:51] 后台拉取: 房中㊙️术🔞
[12:18:57] 模块导入完成
[12:18:57] init 开始
[12:18:57] 后台拉取失败: 房中㊙️术🔞 - 
[12:18:57] 后台拉取: package
[12:18:57] 后台拉取失败: package - 文件中未找到 Spider 类
[12:18:57] 后台拉取: _runner
[12:18:57] 后台拉取失败: _runner - 文件中未找到 Spider 类
[12:18:57] 后台拉取: basic
[12:18:57] 后台拉取失败: basic - 文件中未找到 Spider 类
[12:18:57] 后台拉取: dict
[12:18:57] 后台拉取失败: dict - 文件中未找到 Spider 类
[12:18:57] 后台拉取: klass
[12:18:57] 后台拉取失败: klass - 文件中未找到 Spider 类
[12:18:57] 后台拉取: long
[12:18:57] 后台拉取失败: long - 文件中未找到 Spider 类
[12:18:57] 后台拉取: protocol5
[12:18:57] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[12:18:57] 后台拉取: set
[12:18:57] 后台拉取失败: set - 文件中未找到 Spider 类
[12:18:57] 后台拉取: APP配置MAP提取器
[12:18:57] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[12:18:57] 后台拉取: XYQ规则链接提取器
[12:18:57] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[12:18:57] 后台拉取: compare_source
[12:18:57] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[12:18:57] 后台拉取: move_error_sources
[12:18:57] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[12:18:57] 后台拉取: move_error_sources_test
[12:18:57] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[12:18:57] 后台拉取: 采集分类生成器
[12:18:58] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[12:18:58] 后台拉取: 采集转换器
[12:18:58] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[12:18:58] 后台拉取: crawler
[12:18:58] 后台拉取失败: crawler - 文件中未找到 Spider 类
[12:18:58] 后台拉取: 4K影视
[12:19:04] 后台拉取失败: 4K影视 - 
[12:19:04] 后台拉取: AppFei
[12:19:04] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[12:19:04] 后台拉取: AppFox
[12:19:04] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[12:19:04] 后台拉取: AppGet
[12:19:04] 后台拉取失败: AppGet - 'key'
[12:19:04] 后台拉取: AppHs
[12:19:04] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[12:19:04] 后台拉取: AppMuou
[12:19:04] 后台拉取失败: AppMuou - 'host'
[12:19:04] 后台拉取: AppSk
[12:19:04] 后台拉取失败: AppSk - 
[12:19:04] 后台拉取: AppToV5
[12:19:04] 后台拉取失败: AppToV5 - 
[12:19:04] 后台拉取: AppV1
[12:19:04] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[12:19:04] 后台拉取: AppV2²
[12:19:04] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[12:19:04] 后台拉取: AppV2¹
[12:19:04] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[12:19:04] 后台拉取: AppV6
[12:19:04] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[12:19:04] 后台拉取: AppYqk
[12:19:04] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[12:19:04] 后台拉取: _bridge
[12:19:04] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[12:19:04] 后台拉取: base_java_loader
[12:19:04] 后台拉取失败: base_java_loader - No module named 't4'
[12:19:04] 后台拉取: base_test
[12:19:04] 后台拉取失败: base_test - No module named 'core'
[12:19:04] 后台拉取: getapp3.4.2
[12:19:04] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[12:19:04] 后台拉取: getapp3.4.4
[12:19:04] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[12:19:04] 后台拉取: 懒懒视频
[12:19:04] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[12:19:04] 后台拉取: 麦田影院
[12:19:04] init 完成，扫描到 247 个py源
[12:19:04] homeContent 开始
[12:19:05] homeContent 返回 248 个标签
[12:19:05] 后台拉取: 985短剧
[12:19:05] 后台拉取失败: 麦田影院 - Document is empty
[12:19:05] 后台拉取: htmlParser
[12:19:05] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[12:19:05] 后台拉取: spider
[12:19:05] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[12:19:05] 后台拉取: bridge
[12:19:05] 后台拉取失败: bridge - 文件中未找到 Spider 类
[12:19:05] 后台拉取: t4_daemon
[12:19:05] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[12:19:05] 后台拉取: t4_daemon_lite
[12:19:05] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[12:19:06] 后台拉取失败: 985短剧 - encoding not supported USC4 little endian, line 1, column 1 (<string>, line 1)
[12:19:06] 后台拉取: JAVMove🔞
[12:19:07] 后台拉取失败: JAVMove🔞 - 
[12:19:07] 后台拉取: pmvhaven🔞
[12:19:07] 后台拉取失败: pmvhaven🔞 - 'Spider' object has no attribute 'init'
[12:19:07] 后台拉取: 房中㊙️术🔞
[12:19:59] 后台拉取失败: 房中㊙️术🔞 - 
[12:19:59] 后台拉取: package
[12:19:59] 后台拉取失败: package - 文件中未找到 Spider 类
[12:19:59] 后台拉取: _runner
[12:19:59] 后台拉取失败: _runner - 文件中未找到 Spider 类
[12:19:59] 后台拉取: basic
[12:19:59] 后台拉取失败: basic - 文件中未找到 Spider 类
[12:19:59] 后台拉取: dict
[12:19:59] 后台拉取失败: dict - 文件中未找到 Spider 类
[12:19:59] 后台拉取: klass
[12:20:00] 后台拉取失败: klass - 文件中未找到 Spider 类
[12:20:00] 后台拉取: long
[12:20:00] 后台拉取失败: long - 文件中未找到 Spider 类
[12:20:00] 后台拉取: protocol5
[12:20:00] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[12:20:00] 后台拉取: set
[12:20:00] 后台拉取失败: set - 文件中未找到 Spider 类
[12:20:00] 后台拉取: APP配置MAP提取器
[12:20:00] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[12:20:00] 后台拉取: XYQ规则链接提取器
[12:20:00] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[12:20:00] 后台拉取: compare_source
[12:20:00] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[12:20:00] 后台拉取: move_error_sources
[12:20:00] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[12:20:00] 后台拉取: move_error_sources_test
[12:20:00] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[12:20:00] 后台拉取: 采集分类生成器
[12:20:00] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[12:20:00] 后台拉取: 采集转换器
[12:20:00] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[12:20:00] 后台拉取: crawler
[12:20:00] 后台拉取失败: crawler - 文件中未找到 Spider 类
[12:20:00] 后台拉取: 4K影视
[12:20:06] 后台拉取失败: 4K影视 - 
[12:20:06] 后台拉取: AppFei
[12:20:06] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[12:20:06] 后台拉取: AppFox
[12:20:06] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[12:20:06] 后台拉取: AppGet
[12:20:06] 后台拉取失败: AppGet - 'key'
[12:20:06] 后台拉取: AppHs
[12:20:06] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[12:20:06] 后台拉取: AppMuou
[12:20:06] 后台拉取失败: AppMuou - 'host'
[12:20:06] 后台拉取: AppSk
[12:20:06] 后台拉取失败: AppSk - 
[12:20:06] 后台拉取: AppToV5
[12:20:06] 后台拉取失败: AppToV5 - 
[12:20:06] 后台拉取: AppV1
[12:20:06] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[12:20:06] 后台拉取: AppV2²
[12:20:06] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[12:20:06] 后台拉取: AppV2¹
[12:20:06] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[12:20:06] 后台拉取: AppV6
[12:20:06] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[12:20:06] 后台拉取: AppYqk
[12:20:06] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[12:20:06] 后台拉取: _bridge
[12:20:06] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[12:20:06] 后台拉取: base_java_loader
[12:20:06] 后台拉取失败: base_java_loader - No module named 't4'
[12:20:06] 后台拉取: base_test
[12:20:06] 后台拉取失败: base_test - No module named 'core'
[12:20:06] 后台拉取: getapp3.4.2
[12:20:06] 后台拉取失败: getapp3.4.2 - Expecting value: line 1 column 1 (char 0)
[12:20:06] 后台拉取: getapp3.4.4
[12:20:06] 后台拉取失败: getapp3.4.4 - Expecting value: line 1 column 1 (char 0)
[12:20:06] 后台拉取: 懒懒视频
[12:20:06] 后台拉取失败: 懒懒视频 - HTTPConnectionPool(host='llsp2.xn--it-if7c19g5s4bps5c.com', port=80): Max retries exceeded with url: /api.php/provide/index?tid=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection obje
[12:20:06] 后台拉取: 麦田影院
[12:20:08] 后台拉取成功: 麦田影院
[12:20:08] 后台拉取: htmlParser
[12:20:08] 后台拉取失败: htmlParser - 文件中未找到 Spider 类
[12:20:08] 后台拉取: spider
[12:20:08] 后台拉取失败: spider - Can't instantiate abstract class BaseSpider with abstract methods categoryContent, detailContent, homeContent, homeVideoContent, init, isVideoFormat, localProxy, manualVideoCheck, playerContent, searc
[12:20:08] 后台拉取: bridge
[12:20:08] 后台拉取失败: bridge - 文件中未找到 Spider 类
[12:20:08] 后台拉取: t4_daemon
[12:20:08] 后台拉取失败: t4_daemon - 文件中未找到 Spider 类
[12:20:08] 后台拉取: t4_daemon_lite
[12:20:08] 后台拉取失败: t4_daemon_lite - 文件中未找到 Spider 类
[12:23:56] 模块导入完成
[12:23:56] init 开始
[12:24:04] init 完成，扫描到 247 个py源
[12:24:04] homeContent 开始
[12:24:04] homeContent 返回 248 个标签
[12:24:04] 后台拉取: 985短剧
[12:24:05] 后台拉取失败: 985短剧 - encoding not supported USC4 little endian, line 1, column 1 (<string>, line 1)
[12:24:05] 后台拉取: JAVMove🔞
[12:24:07] 后台拉取失败: JAVMove🔞 - 
[12:24:07] 后台拉取: pmvhaven🔞
[12:24:07] 后台拉取失败: pmvhaven🔞 - 'Spider' object has no attribute 'init'
[12:24:07] 后台拉取: 房中㊙️术🔞
[12:24:13] 后台拉取失败: 房中㊙️术🔞 - 
[12:24:13] 后台拉取: package
[12:24:13] 后台拉取失败: package - 文件中未找到 Spider 类
[12:24:13] 后台拉取: _runner
[12:24:13] 后台拉取失败: _runner - 文件中未找到 Spider 类
[12:24:13] 后台拉取: basic
[12:24:13] 后台拉取失败: basic - 文件中未找到 Spider 类
[12:24:13] 后台拉取: dict
[12:24:13] 后台拉取失败: dict - 文件中未找到 Spider 类
[12:24:13] 后台拉取: klass
[12:24:13] 后台拉取失败: klass - 文件中未找到 Spider 类
[12:24:13] 后台拉取: long
[12:24:13] 后台拉取失败: long - 文件中未找到 Spider 类
[12:24:13] 后台拉取: protocol5
[12:24:13] 后台拉取失败: protocol5 - 文件中未找到 Spider 类
[12:24:13] 后台拉取: set
[12:24:13] 后台拉取失败: set - 文件中未找到 Spider 类
[12:24:13] 后台拉取: APP配置MAP提取器
[12:24:13] 后台拉取失败: APP配置MAP提取器 - 文件中未找到 Spider 类
[12:24:13] 后台拉取: XYQ规则链接提取器
[12:24:14] 后台拉取失败: XYQ规则链接提取器 - 文件中未找到 Spider 类
[12:24:14] 后台拉取: compare_source
[12:24:14] 后台拉取失败: compare_source - 文件中未找到 Spider 类
[12:24:14] 后台拉取: move_error_sources
[12:24:14] 后台拉取失败: move_error_sources - 文件中未找到 Spider 类
[12:24:14] 后台拉取: move_error_sources_test
[12:24:14] 后台拉取失败: move_error_sources_test - 文件中未找到 Spider 类
[12:24:14] 后台拉取: 采集分类生成器
[12:24:14] 后台拉取失败: 采集分类生成器 - 文件中未找到 Spider 类
[12:24:14] 后台拉取: 采集转换器
[12:24:14] 后台拉取失败: 采集转换器 - 文件中未找到 Spider 类
[12:24:14] 后台拉取: crawler
[12:24:14] 后台拉取失败: crawler - 文件中未找到 Spider 类
[12:24:14] 后台拉取: 4K影视
[12:24:20] 后台拉取失败: 4K影视 - 
[12:24:20] 后台拉取: AppFei
[12:24:20] 后台拉取失败: AppFei - Invalid URL '/api.php?type=getsort': No scheme supplied. Perhaps you meant https:///api.php?type=getsort?
[12:24:20] 后台拉取: AppFox
[12:24:20] 后台拉取失败: AppFox - Expecting value: line 1 column 1 (char 0)
[12:24:20] 后台拉取: AppGet
[12:24:20] 后台拉取失败: AppGet - 'key'
[12:24:20] 后台拉取: AppHs
[12:24:20] 后台拉取失败: AppHs - Invalid URL '/api/block/category_type': No scheme supplied. Perhaps you meant https:///api/block/category_type?
[12:24:20] 后台拉取: AppMuou
[12:24:20] 后台拉取失败: AppMuou - 'host'
[12:24:20] 后台拉取: AppSk
[12:24:20] 后台拉取失败: AppSk - 
[12:24:20] 后台拉取: AppToV5
[12:24:20] 后台拉取失败: AppToV5 - 
[12:24:20] 后台拉取: AppV1
[12:24:20] 后台拉取失败: AppV1 - Invalid URL '/v1.vod/types': No scheme supplied. Perhaps you meant https:///v1.vod/types?
[12:24:20] 后台拉取: AppV2²
[12:24:20] 后台拉取失败: AppV2² - Invalid URL '//api.php/app/nav?token=': No scheme supplied. Perhaps you meant https:////api.php/app/nav?token=?
[12:24:20] 后台拉取: AppV2¹
[12:24:20] 后台拉取失败: AppV2¹ - Expecting value: line 1 column 1 (char 0)
[12:24:20] 后台拉取: AppV6
[12:24:20] 后台拉取失败: AppV6 - Expecting value: line 1 column 1 (char 0)
[12:24:20] 后台拉取: AppYqk
[12:24:20] 后台拉取失败: AppYqk - Expecting value: line 1 column 1 (char 0)
[12:24:20] 后台拉取: _bridge
[12:24:20] 后台拉取失败: _bridge - 文件中未找到 Spider 类
[12:24:20] 后台拉取: base_java_loader
[12:24:20] 后台拉取失败: base_java_loader - No module named 't4'
[12:24:20] 后台拉取: base_test
[12:24:20] 后台拉取失败: base_test - No module named 'core'
[12:24:20] 后台拉取: getapp3.4.2
